Symbol,Date,Open,High,Low,Close,Volume
DSCT.TA,2025-07-27,3300.0,3311.0,3260.0,3271.0,1492962
DSCT.TA,2025-07-28,3289.0,3325.0,3232.0,3317.0,2160470
DSCT.TA,2025-07-29,3305.0,3315.0,3268.0,3282.0,1325090
DSCT.TA,2025-07-30,3280.0,3299.0,3261.0,3279.0,1310592
DSCT.TA,2025-07-31,3295.0,3309.0,3259.0,3261.0,1610599
DSCT.TA,2025-08-04,3213.0,3267.0,3200.0,3261.0,3272869
DSCT.TA,2025-08-05,3261.0,3270.0,3155.0,3168.0,4117409
DSCT.TA,2025-08-06,3162.0,3216.0,3130.0,3164.0,4642053
DSCT.TA,2025-08-07,3160.0,3163.0,3095.0,3100.0,10757351
DSCT.TA,2025-08-10,3118.0,3280.0,3115.0,3280.0,3404440
DSCT.TA,2025-08-11,3264.0,3324.0,3179.0,3201.0,4473422
DSCT.TA,2025-08-12,3231.0,3231.0,3128.0,3155.0,2215432
DSCT.TA,2025-08-13,3190.0,3205.0,3155.0,3190.0,1982933
DSCT.TA,2025-08-14,3143.0,3177.0,3103.0,3157.0,3866824
DSCT.TA,2025-08-17,3110.0,3192.0,3110.0,3192.0,2093816
DSCT.TA,2025-08-18,3170.0,3203.0,3132.0,3154.0,2469149
DSCT.TA,2025-08-19,3184.0,3232.0,3173.0,3232.0,7079017
DSCT.TA,2025-08-20,3210.0,3246.0,3201.0,3230.0,3190739
DSCT.TA,2025-08-21,3230.0,3237.0,3181.0,3191.0,2312508
DSCT.TA,2025-08-24,3249.0,3249.0,3181.0,3230.0,1175167
DSCT.TA,2025-08-25,3220.0,3315.0,3213.0,3287.0,3463276
DSCT.TA,2025-08-26,3306.0,3355.0,3290.0,3330.0,5044878
DSCT.TA,2025-08-27,3339.0,3398.0,3307.0,3365.0,3003000
DSCT.TA,2025-08-28,3295.0,3361.0,3295.0,3309.0,11323374
DSCT.TA,2025-08-31,3251.0,3265.0,3185.0,3226.0,1998921
DSCT.TA,2025-09-01,3226.0,3226.0,3175.0,3211.0,1679097
DSCT.TA,2025-09-02,3206.0,3210.0,3133.0,3145.0,2222127
DSCT.TA,2025-09-03,3164.0,3194.0,3146.0,3174.0,1773446
DSCT.TA,2025-09-04,3188.0,3240.0,3185.0,3240.0,2371062
DSCT.TA,2025-09-07,3258.0,3270.0,3210.0,3270.0,829670
DSCT.TA,2025-09-08,3298.0,3298.0,3248.0,3257.0,1490910
DSCT.TA,2025-09-09,3253.0,3305.0,3227.0,3293.0,2895457
DSCT.TA,2025-09-10,3290.0,3300.0,3262.0,3283.0,1253430
DSCT.TA,2025-09-11,3302.0,3309.0,3168.0,3189.0,2835652
DSCT.TA,2025-09-14,3170.0,3180.0,3144.0,3179.0,688851
DSCT.TA,2025-09-15,3179.0,3228.0,3113.0,3172.0,1708330
DSCT.TA,2025-09-16,3153.0,3160.0,3081.0,3131.0,2582241
DSCT.TA,2025-09-17,3149.0,3165.0,3020.0,3028.0,3219187
DSCT.TA,2025-09-18,3043.0,3080.0,3029.0,3056.0,3809991
DSCT.TA,2025-09-21,3086.0,3111.0,2995.0,3030.0,2126257
DSCT.TA,2025-09-22,3030.0,3030.0,3030.0,3030.0,0
DSCT.TA,2025-09-23,3030.0,3030.0,3030.0,3030.0,0
DSCT.TA,2025-09-24,3030.0,3030.0,3030.0,3030.0,0
DSCT.TA,2025-09-25,3061.0,3089.0,3036.0,3075.0,5277454
DSCT.TA,2025-09-28,3155.0,3245.0,3122.0,3245.0,1929416
DSCT.TA,2025-09-30,3253.0,3288.0,3220.0,3274.0,4708023
