Date,Timestamp,Symbol,Description,Last,Pct_Change,Pct_Hi,Pct_Vol,5Day,3Month,6Month,YTD,TSI,Phase,RM50,RM10,TP_P,TP_V
2026-09-21,2026-09-21T09:15:23.662912,SPY,S&P 500,761.69,0.03,8,29,-0.34,2.80,15.44,11.70,4.26,Bullish,DIST,BEAR,n.a.,BEAR+
2026-09-21,2026-09-21T09:15:23.662912,QQQ,Nasdaq,721.45,0.74,4,28,0.92,-0.15,21.66,17.44,5.44,Bullish,BEAR,BULL,ACCU,BULL+
2026-09-21,2026-09-21T09:15:23.662912,IWM,Russell,284.10,-0.48,43,40,-1.66,-1.99,14.73,15.41,2.79,Warning,BEAR,BEAR,BEAR,BEAR+
2026-09-21,2026-09-21T09:15:23.662912,DIA,Dow,515.88,-0.35,41,-38,-1.88,-0.08,11.89,7.35,2.71,Warning,DIST,BEAR,BEAR,BEAR+
2026-09-21,2026-09-21T09:15:23.662912,VTI,Total Market Index,375.43,0.15,23,1,-0.23,2.64,15.36,10.95,4.26,Bullish,DIST,BEAR,BEAR,BEAR+
